team_abbr,team_name,team_nick,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo,team_logo_dark,team_logo_scoreboard,team_logo_scoreboard_dark
NYG,New York Giants,Giants,#0b2265,#a71930,#a5acaf,#012352,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/nyg.png
NYJ,New York Jets,Jets,#203731,#1c2d25,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/nyj.png
OAK,Oakland Raiders,Raiders,#a5acaf,#000000,#a6aeb0,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lv.png
PHI,Philadelphia Eagles,Eagles,#004953,#a5acaf,#acc0c6,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/phi.png
PIT,Pittsburgh Steelers,Steelers,#000000,#ffb612,#c60c30,#00539b,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/pit.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/pit.png
SD,San Diego Chargers,Chargers,#002244,#0073cf,#ffb612,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lac.png
SEA,Seattle Seahawks,Seahawks,#002244,#69be28,#a5acaf,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/sea.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/sea.png
SF,San Francisco 49ers,49ers,#aa0000,#b3995d,#000000,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/sf.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/sf.png
STL,St. Louis Rams,Rams,#002244,#b3995d,#001532,#af925d,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lar.png
TB,Tampa Bay Buccaneers,Buccaneers,#d50a0a,#34302b,#000000,#ff7900,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/tb.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/tb.png
TEN,Tennessee Titans,Titans,#002244,#4b92db,#c60c30,#a5acaf,http://www.habitatring.com/titans.png,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/ten.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/ten.png
WAS,Washington Football Team,Football Team,#773141,#ffb612,#000000,#5b2b2f,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/wsh.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/wsh.png
