game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2011_02_TB_MIN,3945,23,8,MIN,A.Peterson,00-0025394
2011_15_MIA_BUF,4999,23,-2,BUF,C.Spiller,00-0027861
2011_01_DET_TB,4277,23,2,TB,D.Penn,00-0023894
2011_01_DAL_NYJ,4133,23,-10,DAL,F.Jones,00-0026162
2011_09_NYG_NE,4729,23,2,NE,J.Edelman,00-0027150
2011_01_DET_TB,4277,23,-4,TB,J.Freeman,00-0026993
2011_05_CIN_JAX,3840,23,7,CIN,M.Thomas,00-0027076
2011_02_TB_MIN,3945,23,6,MIN,P.Harvin,00-0026998
2011_19_NO_SF,4986,23,2,NO,R.Meachem,00-0025414
