game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2017_05_GB_DAL,3992,23,-2,DAL,B.Butler,00-0030516
2017_16_LAC_NYJ,4165,23,-2,NYJ,B.Qvale,00-0031031
2017_06_LAC_OAK,3301,23,4,OAK,C.Patterson,00-0030578
2017_07_TB_BUF,4620,23,-3,TB,C.Sims III,00-0031390
2017_05_GB_DAL,3992,23,-3,DAL,D.Prescott,00-0033077
2017_05_GB_DAL,3992,23,3,DAL,D.Prescott,00-0033077
2017_05_GB_DAL,3992,23,20,DAL,E.Elliott,00-0033045
2017_02_HOU_CIN,4163,23,8,CIN,G.Bernard,00-0030456
2017_10_GB_CHI,4134,23,2,CHI,H.Grasu,00-0031561
2017_07_NYJ_MIA,4251,23,-8,NYJ,J.Kerley,00-0028091
2017_16_OAK_PHI,4090,23,-10,OAK,J.Richard,00-0033025
2017_07_TB_BUF,4620,23,-3,TB,M.Evans,00-0031408
2017_09_LA_NYG,855,23,9,LA,T.Austin,00-0030525
2017_12_NO_LA,1365,23,4,LA,T.Austin,00-0030525
2017_14_PHI_LA,4616,23,-9,LA,T.Austin,00-0030525
2017_05_MIN_CHI,4348,23,-3,CHI,T.Cohen,00-0033556
