game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2016_13_HOU_GB,3581,23,-8,HOU,B.Osweiler,00-0029682
2016_06_CAR_NO,5129,23,5,CAR,C.Brown,00-0031118
2016_04_IND_JAX,4646,23,-3,IND,C.Rogers,00-0032355
2016_11_TB_KC,4008,23,-5,KC,E.Fisher,00-0030584
2016_16_MIA_BUF,2296,23,4,BUF,L.McCoy,00-0027029
2016_13_HOU_GB,3581,23,-11,HOU,L.Miller,00-0029615
2016_02_NYJ_BUF,4590,23,18,BUF,M.Goodwin,00-0030068
2016_11_TB_KC,4008,23,-6,KC,T.Hill,00-0033040
2016_07_WAS_DET,3697,23,2,WAS,V.Davis,00-0024221
2016_13_HOU_GB,3581,23,5,HOU,W.Fuller,00-0033127
