game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2012_07_CLE_IND,4069,23,-9,CLE,B.Weeden,00-0029677
2012_12_TEN_JAX,4217,23,-7,TEN,C.Johnson,00-0026164
2012_07_DAL_CAR,4026,23,6,CAR,C.Newton,00-0027939
2012_03_HOU_DEN,4633,23,7,DEN,D.Thomas,00-0027874
2012_03_HOU_DEN,4633,23,-3,DEN,D.Thomas,00-0027874
2012_12_PIT_CLE,4217,23,2,PIT,E.Sanders,00-0027685
2012_07_CLE_IND,4069,23,8,CLE,G.Little,00-0027997
2012_07_CLE_IND,4069,23,-2,CLE,G.Little,00-0027997
2012_08_SEA_DET,3919,23,6,SEA,G.Tate,00-0027891
2012_08_ATL_PHI,4103,23,14,PHI,J.Avant,00-0024324
2012_12_TEN_JAX,4217,23,-1,TEN,J.Cook,00-0027061
2012_07_CLE_IND,4069,23,4,CLE,J.Cooper,00-0028930
2012_07_CLE_IND,4069,23,8,CLE,J.Gordon,00-0029664
2012_07_DAL_CAR,4026,23,1,CAR,J.Gross,00-0022117
2012_10_DAL_PHI,4291,23,1,PHI,J.Maclin,00-0026995
2012_03_HOU_DEN,4633,23,3,DEN,L.Ball,00-0026432
2012_01_STL_DET,3776,23,4,STL,R.Turner,00-0025761
