game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2018_06_PHI_NYG,1692,23,3,PHI,A.Jeffery,00-0029137
2018_13_WAS_PHI,3296,23,4,WAS,C.Thompson,00-0030404
2018_03_TEN_JAX,3864,23,-4,JAX,D.Moncrief,00-0031339
2018_14_NE_MIA,4172,23,3,MIA,D.Parker,00-0031547
2018_03_TEN_JAX,3803,23,2,JAX,D.Westbrook,00-0033839
2018_02_OAK_DEN,1814,23,11,DEN,E.Sanders,00-0027685
2018_08_DEN_KC,4282,23,-9,DEN,E.Sanders,00-0027685
2018_10_DAL_PHI,2319,23,6,PHI,G.Tate,00-0027891
2018_09_PIT_BAL,4347,23,-8,BAL,J.Allen,00-0031577
2018_09_PIT_BAL,4347,23,-2,BAL,J.Brown,00-0031051
2018_14_PIT_OAK,4221,23,43,PIT,J.Smith-Schuster,00-0033857
2018_02_PHI_TB,4196,23,-7,PHI,N.Agholor,00-0031549
2018_02_PHI_TB,4196,23,-5,PHI,N.Foles,00-0029567
2018_03_TEN_JAX,3803,23,10,JAX,T.Yeldon,00-0032209
