game_id,play_id,stat_id,lateral_rec_yards,team_abbr,player_name,gsis_player_id
2013_14_MIA_PIT,4366,23,56,PIT,A.Brown,00-0027793
2013_14_MIA_PIT,4366,23,5,PIT,B.Roethlisberger,00-0022924
2013_03_SD_TEN,3977,23,-4,SD,D.Woodhead,00-0026019
2013_03_SD_TEN,3977,23,11,SD,E.Royal,00-0026182
2013_03_SD_TEN,3977,23,-5,SD,E.Royal,00-0026182
2013_14_MIA_PIT,4337,23,7,PIT,E.Sanders,00-0027685
2013_14_MIA_PIT,4366,23,-5,PIT,J.Cotchery,00-0022811
2013_09_BAL_CLE,4325,23,6,BAL,J.Jones,00-0025460
2013_08_ATL_ARI,4329,23,1,ATL,J.Rodgers,00-0028083
2013_03_SD_TEN,3977,23,-5,SD,K.Allen,00-0030279
2013_03_SD_TEN,3977,23,-2,SD,K.Allen,00-0030279
2013_14_MIA_PIT,4366,23,-9,PIT,L.Bell,00-0030496
2013_03_SD_TEN,3977,23,-13,SD,L.McClain,00-0025524
2013_02_SD_PHI,4392,23,-2,PHI,M.Vick,00-0020245
2013_03_SD_TEN,3977,23,-9,SD,P.Rivers,00-0022942
2013_12_TEN_OAK,4325,23,6,OAK,R.Streater,00-0029129
