game_id,play_id,stat_id,type,yards,team_abbr,player_name,gsis_player_id
2019_01_BUF_NYJ,4528,23,lateral_receiving,-12,NYJ,Q.Enunwa,00-0031023
2019_02_MIN_GB,4321,23,lateral_receiving,4,MIN,S.Diggs,00-0031588
2019_04_KC_DET,3471,23,lateral_receiving,23,KC,L.McCoy,00-0027029
2019_05_JAX_CAR,2164,23,lateral_receiving,1,JAX,L.Fournette,00-0033856
2019_05_BAL_PIT,2857,23,lateral_receiving,4,PIT,J.Holton,00-0032935
2019_10_BAL_CIN,1000,12,lateral_rushing,9,BAL,R.Griffin III,00-0029665
2019_10_NYG_NYJ,4162,23,lateral_receiving,6,NYG,G.Tate,00-0027891
2019_14_MIA_NYJ,1876,12,lateral_rushing,4,MIA,C.Walford,00-0032256
2019_15_CLE_ARI,1536,23,lateral_receiving,0,CLE,B.Mayfield,00-0034855
2019_17_OAK_DEN,3581,23,lateral_receiving,9,OAK,M.Ateman,00-0034747
